Şəhər,Market,Marka,Model,Buraxılış ili,Ban növü,Rəng,Fuel_type,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,New,Seats,Sahiblər,Vəziyyəti,Seller,Seller comment,Price,ImageUrl
Bakı,Qətər Auto,Kia,Optima,2015,Sedan,Qara,,2.0 L/274 a.g./Benzin,135 000 km,Avtomat,Ön,,,,"Vuruğu yoxdur, rənglənməyib",,"💎💎💎💎💎💎💎💎💎💎💎💎 🔊Yanlız 🌙QƏTƏR AVTO🌙da bizə məxsus olan avtomobillərimizi BANK🏦 yolu ilə əldə etmək istəsəniz,ilkin ödəniş avtomobillərimizin qiymətinin 40-45%ni ödəməklə illik fazi dərərcələri📶 isə 13/17%-lə (azalan faizle ve manatla) 36 bezi hallarda 48-aya qeder əldə etmək mümkündür!!! Ister lizinq ister daxili kredit olsun hec birinde zamine ve resmi gelir gostermeye ehtiyac yoxdur! Əl krediti💳ilə isə əldə etmək istəsəniz,avtomobilinizin qiymətini 45-50%ni ödəməklə 1 saat ərzində🕒 DYP🚔(Notarusda borc müqaviləsi📑🖋)və sığorta xərcləri daxil el krediti bele 36aya qeder rəsmilləşdirmə!!! Əziz və dəyərli müştərilərimizə təhvil verilmə və yaxud öz avtomobilinizi ilkin ödəniş olaraq versəniz barter🔄şərtləridə mövcuddur! 💠Sona qədər oxuyun həm bu avtomobil haqqda həmdə kredit & barter şərtləri haqqında məlumat vermişik✔️ 👇🏼 💎💎💎💎💎💎💎💎💎💎💎💎💎
Mawin polnu Full SXL Sport Versiya Reystal vin kod gozel wekillerin icinde paylawilib vezyetdedir hec bir problemi yoxdur tam sazz vezyetdedir 2015ci il 2016vin 135mil yol gedib kankret Motor karobka super vezyetdedir.qetiyyen xerce ehtiyaci yoxdur.
Mawinda Optimaya aid olacaq maximum her bir funksiya movcuddur her biride ayri ayriliqda iwlek vezyetdedir.
💎💎💎💎💎💎💎💎💎💎💎💎💎 🗣Diqqət!🗣Diqqət!🗣Diqqət!
💠AYLIQ ÖDƏNİŞ HAQQINDA YANLIZ REAL ALICIYA MAŞININ YANINDA MƏLUMAT VERİLİR VƏ YANLIZ AVTOMOBİLİN YANINDA KREDİT ŞƏRTLƏRİNİ TAM QAYDADA ÖYRƏNƏ BİLƏRSİNİZ!!!
💠KREDİT VƏ BARTER ŞƏRTLƏRİMİZİ AZƏRBAYCANIN BÜTÜN ŞƏHƏR VƏ RAYON SAKİNLƏRİNƏ ŞAMİL OLUNUR!!!
💠BARTER İSTƏR MÖVCUD AVTOMOBİLDƏN UCUZ OLSUN,İSTƏRSƏDƏ BAHA OLSUN HƏR İKİ HALDA BİZ SİZLƏRİN RAHATLIĞINI DÜŞÜNDÜK!!! 🔹Əziz və dəyərli müştərilərimizin nəzərinə bizim maşınlarının buraxılış illərini nəzərə alın və yürüşlərinə görə irad bildirməyin! 🔹Nəzərivizə çatdıraq ki,sizə az yürüşlü maşınlar maraqlandırırsa,bu saytda dahada ucuz və dahada az yürüşlə göstərilən maşınlar çoxdur!!! 🔹Bizim məqsədimiz sizləri razı və ən əsası isə Halal qarşılayıb Halalda yola salmaqdır🤝
💠Avtosalonumuzun digər avtomobilləri ilə maraqlanmaq istəyirsinizsə aşağıda 👇 🌙QƏTƏR AVTO 🌙sözünün üzərinə basaraq bizə məxsus olan avtomobil elanlarını görəcəksiniz!
ℹ️Ünvan: Binəqədi pasyolka kirov qayısını keçən kimi AZPETROL ilə üz-üzə olan 🌙QƏTƏR AVTO🌙",31 900 AZN,https://turbo.azstatic.com/uploads/full/2023%2F09%2F25%2F20%2F19%2F22%2Fef96d239-ceb5-4935-93f6-4431101b9d88%2F88120_Va4U7umIde0rsUbrxBOe0Q.jpg
Bakı,,Opel,Astra,2007,Hetçbek,Gümüşü,,1.6 L/115 a.g./Benzin,344 000 km,Mexaniki,Ön,,,1,"Vuruğu yoxdur, rənglənməyib",Xaqani,Kosmetik işləri var.Təcili satılır.,9 500 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F13%2F13%2F15%2F14%2F3f15d002-cf11-4878-9d8f-9ac38da3342d%2F3787_eUi0dpVrYMBmxH6jqQwtNw.jpg
Sumqayıt,,Opel,Astra,2007,Sedan,Yaş Asfalt,,1.3 L/90 a.g./Dizel,305 207 km,Mexaniki,Ön,,,,"Vuruğu yoxdur, rənglənməyib",,Maslnln xadovoyu matoru karopkasl perodoku yaxsdl salon saliqali kansaneri islayir islq avto rejimi var seliqali ve baxlmll maslndl maslna baxdlxdan sonra qiymatda razlasmax olar,10 850 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F13%2F13%2F07%2F27%2Faca111b6-5f80-41d4-b193-26fbc3e157d4%2F3692_kjfBpWVW5rFyANpZ_ssT9A.jpg
Bakı,,Hyundai,Grandeur,2018,Sedan,Qara,,3.0 L/250 a.g./Benzin,150 000 km,Avtomat,Ön,,,1,"Vuruğu yoxdur, rənglənməyib",Dadaş,Servis.Heç bir problemi yoxdur. Rahatciligina ve getmeyine söz ola bilmez salonu seliqeli ve temizdir. Tezelikce polirofka olunub yagi yeni deyişilib,43 800 AZN,https://turbo.azstatic.com/uploads/full/2024%2F01%2F25%2F16%2F52%2F25%2F691c2f0e-2bc4-4d78-aee0-f848163e9670%2F25213_0ByA5lL-7AmsUHsv0a8HPQ.jpg
Bakı,,Toyota,Land Cruiser,2012,Offroader / SUV,Ağ,,4.6 L/309 a.g./Benzin,195 000 km,Avtomat,Tam,,,,"Vuruğu yoxdur, rənglənməyib",Elshen,"Tecilli Satilir!!! V8 4.6 mator. Avtomobil TOYOTA BAKI resmi dillerden elde edilib 2013 ilde texpasport 2012 ideal vezitededi hec bir xerc teleb etmir bu modelin en maksimal komplektasiyasidir. demek olar BEZ KRASKA axra qapida kusok boya deyen yeri var bashqa yoxdur. 360 derece kamera, JBL audio sistem, yeni tekerler ve sayre. Xaish olunur yalniz ciddi almaq isteyen shexsler elaqe saxlasinlar. Avtomobilin nomresi ustunde verilmir.",40 000 USD,https://turbo.azstatic.com/uploads/full/2024%2F01%2F16%2F12%2F47%2F23%2F4617f306-b0b4-4836-9a6b-a34afe852cc5%2F25235_Z0iX9a-aHu-qna65MfIi3g.jpg
Sumqayıt,"Avtosalon ""001""",Toyota,Corolla,2016,Universal,Qəhvəyi,,1.5 L/109 a.g./Hibrid,91 325 km,Avtomat,Ön,,,,"Vuruğu yoxdur, rənglənməyib",,"ÖLKƏYƏ YENİ GƏLİB TƏZƏ KİMİDİ. TAM BEZKRASQA. HİBRİT 1.5 MATOR
YANACAQ SƏRFİYYAT 3.5 litir
SUPER VƏZİYYƏTDƏDİR.
ORGİNAL PRABEKT HARDA İSDSƏNİZ YOXLADA BİLƏRSİNİZ.
COX EKONOM VƏ DÖZÜMLÜ MAŞINDI.
Mühərrikin tip: benzinlə, Hibrit Həcm: 1.5l Körpü: ön, Qapılar: 4/5, Oturacaqların sayı: 4-5, Kuzovun rəngi : Qəhvəyi
Qutu-ötürücü: avtomat, Sükan hidrogücləndirici, ABS, ESP, təhlükəsizlik balışları: 4 / 8mərkəzi kilid, siqnalizasiya, immobilayzer, Elektrik şüşələr, kondisioner, klimat-kontrol: birbölməli, Material: ,Kodirvnı Salonun rəngi Qsra Kamdirivın naviqasiya, bortkompüter,
————————————————
Salonumuzda BARTER VE KREDIT Şərtləri Mümkündür. İlkin ödenişin 45-50% - ni ödəməklə
Avto kredit şirketində avto kredit və
Avto lizinq vasitesile əldə edə bilərsiz
Minumum 6 aydan 36 ayadək.
Lizinqde illik faiz 16% dir
Avto kreditde isə 30% dir
—————————————————
Kreditləşmə ücün Lazım olan sənədlər:
1) Vöen.
2) Şəxsiyyət vəsiqəsi.
3) Prava.
—————————————————
UNVAN:Sumqayit Masin Bazarinin Girisi ..
__AVTOSALON 001 CARS___",23 800 AZN,https://turbo.azstatic.com/uploads/full/2024%2F01%2F15%2F19%2F19%2F44%2F8298ff0e-5599-43b3-835a-f5587f4899db%2F3630_r_NCzVoeX45-agUAQi5iQQ.jpg
Bakı,,Porsche,Cayenne Turbo,2011,Offroader / SUV,Yaş Asfalt,,4.8 L/500 a.g./Benzin,140 000 km,Avtomat,Tam,,,2,"Vuruğu yoxdur, rənglənməyib",Seymur,"Salam 2012-ci ildə rəsmi servisdən alınmışdır.
İkinci sahibiyik.
Bütün texniki xidmətləri rəsmi servisdə görülmüşdür.
Mühərrik,ötürücü qutu, təkərlər əla vəziyyətdə
Bir detalında rəng var (qabaq sağ qapı)
istənilən yerdə yoxlatdıra bilərsiz",25 000 USD,https://turbo.azstatic.com/uploads/full/2024%2F02%2F13%2F13%2F16%2F50%2Fea8884f9-1602-4123-b87b-c052bcfa0769%2F25251_JPKtetxEJu-7Ni2KZ8FxEA.jpg
Bakı,,Saipa,Saina,2020,Sedan,Boz,,1.5 L/87 a.g./Benzin,107 000 km,Mexaniki,Ön,,,2,"Vuruğu yoxdur, rənglənməyib",Bəhruz,"Salam, alış 2021 dir, caşka feredo vijivnoyu, matorun iç remen çöl remeni, pompası , termostat datçiki, 4 ədəd stupçıya ve poçivniki təzə dəyişilib, dumanlılara 80 manatlig lupalı led qoşulub. 190 manata dəri çexol çekilib. 10/40 bp ( İngiltərə ) yağı tökülür. 4 ədə pioner kalonka . 6800 ələ istirəm 8 ayda 375 manatdan krediti qalıb. Satma səbəbim İşimə görə boqajı furgunlu maşın almağımdı",9 800 AZN,https://turbo.azstatic.com/uploads/full/2024%2F02%2F06%2F21%2F16%2F49%2F4371b23e-2752-4c1c-80bb-41f9bb4071df%2F88099_BByTHk0GJoRY1Zzo1cjBDA.jpg
Bakı,Autolux Azerbaijan - Fiat,Fiat,500,2023,Hetçbek,Ağ,,1.2 L/69 a.g./Benzin,0 km,Robotlaşdırılmış,Ön,,,,"Vuruğu yoxdur, rənglənməyib",,"Arxa park sensoru
Rəngli və isidilə bilən yan güzgülər
Panoramik mənzərəsi olan dam
Işıq sensoru
Yağış sensoru
""Kruiz-kontrol ""
Səs boğucu borusunun xromlu başlıqları
Tünd rəngli arxa şüşələr
Radio , AUX,USB ,Bluetooth,Toxunma Ekran
Arxa duman işiqları ,ön düman işiqları ,led gündüz işiqları
Yüngül lemik disklər 185/55R15
Yoxuşda hərəkətə yardım sistemi (HSA)
""ABS Əyləcin antiblok sistemi ""
EBD Əyləc gücünün elektron paylanması
""ESC Sabitliyə elektron nəzarət ""
TCS Dartmaya Nəzarət Sistemi
*****
- Fiziki və hüquqi şəxslər üçün 5 ilə qədər manatla kredit mümkündür.
(illik dəyişilməz olaraq 10% olmaqla)
Köçürmə yolu ilə mümkündür, qiymətə ƏDV daxildir!
- 2il və ya müddətsiz km zəmanət!
*****
Avtomobil Rəsmi Distribütor AVTOLÜKS AZƏRBAYCAN tərəfindən təklif olunur!",20 100 USD,https://turbo.azstatic.com/uploads/full/2023%2F11%2F16%2F12%2F46%2F39%2F6191a0ea-445d-4f21-897b-8dc49a9fe40b%2F88091_J7mFB-qS8TPnze3A3R1E1g.jpg
Bakı,CarPro,Kia,K7,2020,Sedan,Ağ,,2.4 L/200 a.g./Hibrid,43 004 km,Avtomat,Ön,,,,"Vuruğu yoxdur, rənglənməyib",,"Avtomobilə Otoplaza Mall avtomobil şəhərciyində yerləşən CarPro ikinci əl avtomobillərin satış mərkəzində (Babək pr. Daxili qoşunlar ilə üz-üzə) baxa bilərsiniz. Barter yalnız Hyundai marka avtomobillərlə mümkündü. 25% ilkin ödənişlə lizinq şərtləri mövcuddur. İkinci əl avtomobillərin etibarlı satış mərkəzi olan CarPro-ya gəlin, istədiyiniz avtomobili seçin və sərfəli kredit şərtləri ilə əldə edin. Orijinal yürüş məsafəsinə malik avtomobillər, geniş seçim, peşəkar mütəxəssislər, sərfəli şərtlər sizi gözləyir.",63 500 AZN,https://turbo.azstatic.com/uploads/full/2023%2F01%2F09%2F16%2F01%2F54%2F6d5f9335-a44c-4801-8d06-057340146528%2F11720_pTv7A22Nlj87FbQESKvCCg.jpg
